"CIRCUIT_ID","CIRCUIT_NAME","CIRCUIT_LOCATION","CIRCUIT_COUNTRY","CIRCUIT_LATITUDE","CIRCUIT_LONGITUDE","CIRCUIT_ALTITUDE"
1,"Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10
2,"Sepang International Circuit","Kuala Lumpur","Malaysia",2.76083,101.738,18
3,"Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7
4,"Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109
5,"Istanbul Park","Istanbul","Turkey",40.9517,29.405,130
6,"Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7
7,"Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13
8,"Circuit de Nevers Magny-Cours","Magny Cours","France",46.8642,3.16361,228
9,"Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153
10,"Hockenheimring","Hockenheim","Germany",49.3278,8.56583,103
11,"Hungaroring","Budapest","Hungary",47.5789,19.2486,264
12,"Valencia Street Circuit","Valencia","Spain",39.4589,-0.331667,4
13,"Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401
14,"Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162
15,"Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18
16,"Fuji Speedway","Oyama","Japan",35.3717,138.927,583
17,"Shanghai International Circuit","Shanghai","China",31.3389,121.22,5
18,"Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785
19,"Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223
20,"Nürburgring","Nürburg","Germany",50.3356,6.9475,578
21,"Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,37
22,"Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45
23,"A1-Ring","Spielburg","Austria",47.2197,14.7647,678
24,"Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3
25,"Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina",-34.6943,-58.4593,8
26,"Circuito de Jerez","Jerez de la Frontera","Spain",36.7083,-6.03417,37
27,"Autódromo do Estoril","Estoril","Portugal",38.7506,-9.39417,130
28,"Okayama International Circuit","Okayama","Japan",34.915,134.221,266
29,"Adelaide Street Circuit","Adelaide","Australia",-34.9272,138.617,58
30,"Kyalami","Midrand","South Africa",-25.9894,28.0767,1460
31,"Donington Park","Castle Donington","UK",52.8306,-1.37528,88
32,"Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,2227
33,"Phoenix street circuit","Phoenix","USA",33.4479,-112.075,345
34,"Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,432
35,"Korean International Circuit","Yeongam County","Korea",34.7333,126.417,0
36,"Autódromo Internacional Nelson Piquet","Rio de Janeiro","Brazil",-22.9756,-43.395,1126
37,"Detroit Street Circuit","Detroit","USA",42.3298,-83.0401,177
38,"Brands Hatch","Kent","UK",51.3569,0.263056,145
39,"Circuit Park Zandvoort","Zandvoort","Netherlands",52.3888,4.54092,6
40,"Zolder","Heusden-Zolder","Belgium",50.9894,5.25694,36
41,"Dijon-Prenois","Dijon","France",47.3625,4.89913,484
42,"Fair Park","Dallas","USA",32.7774,-96.7587,139
43,"Long Beach","California","USA",33.7651,-118.189,12
44,"Las Vegas Street Circuit","Nevada","USA",36.1162,-115.174,639
45,"Jarama","Madrid","Spain",40.6171,-3.58558,609
46,"Watkins Glen","New York State","USA",42.3369,-76.9272,485
47,"Scandinavian Raceway","Anderstorp","Sweden",57.2653,13.6042,153
48,"Mosport International Raceway","Ontario","Canada",44.0481,-78.6756,332
49,"Montjuïc","Barcelona","Spain",41.3664,2.15167,79
50,"Nivelles-Baulers","Brussels","Belgium",50.6211,4.32694,139
51,"Charade Circuit","Clermont-Ferrand","France",45.7472,3.03889,790
52,"Circuit Mont-Tremblant","Quebec","Canada",46.1877,-74.6099,214
53,"Rouen-Les-Essarts","Rouen","France",49.3306,1.00458,81
54,"Le Mans","Le Mans","France",47.95,0.224231,67
55,"Reims-Gueux","Reims","France",49.2542,3.93083,88
56,"Prince George Circuit","Eastern Cape Province","South Africa",-33.0486,27.8736,15
57,"Zeltweg","Styria","Austria",47.2039,14.7478,676
58,"Aintree","Liverpool","UK",53.4769,-2.94056,20
59,"Circuito da Boavista","Oporto","Portugal",41.1705,-8.67325,28
60,"Riverside International Raceway","California","USA",33.937,-117.273,470
61,"AVUS","Berlin","Germany",52.4806,13.2514,53
