"DATE_ID","DATE","WEEK_DAY","TEN_DAYS","FORTNIGHT","MONTH_NUMBER","MONTH","BIMESTER","QUARTER","SEMESTER","YEAR"
19700101,01/01/70,"Quinta-Feira",1,1,1,"Janeiro",1,1,1,1970
19700102,02/01/70,"Sexta-Feira",1,1,1,"Janeiro",1,1,1,1970
19700103,03/01/70,"Sábado",1,1,1,"Janeiro",1,1,1,1970
19700104,04/01/70,"Domingo",1,1,1,"Janeiro",1,1,1,1970
19700105,05/01/70,"Segunda-Feira",1,1,1,"Janeiro",1,1,1,1970
19700106,06/01/70,"Terça-Feira",1,1,1,"Janeiro",1,1,1,1970
19700107,07/01/70,"Quarta-Feira",1,1,1,"Janeiro",1,1,1,1970
19700108,08/01/70,"Quinta-Feira",1,1,1,"Janeiro",1,1,1,1970
19700109,09/01/70,"Sexta-Feira",1,1,1,"Janeiro",1,1,1,1970
19700110,10/01/70,"Sábado",1,1,1,"Janeiro",1,1,1,1970
19700111,11/01/70,"Domingo",2,1,1,"Janeiro",1,1,1,1970
19700112,12/01/70,"Segunda-Feira",2,1,1,"Janeiro",1,1,1,1970
19700113,13/01/70,"Terça-Feira",2,1,1,"Janeiro",1,1,1,1970
19700114,14/01/70,"Quarta-Feira",2,1,1,"Janeiro",1,1,1,1970
19700115,15/01/70,"Quinta-Feira",2,1,1,"Janeiro",1,1,1,1970
19700116,16/01/70,"Sexta-Feira",2,2,1,"Janeiro",1,1,1,1970
19700117,17/01/70,"Sábado",2,2,1,"Janeiro",1,1,1,1970
19700118,18/01/70,"Domingo",2,2,1,"Janeiro",1,1,1,1970
19700119,19/01/70,"Segunda-Feira",2,2,1,"Janeiro",1,1,1,1970
19700120,20/01/70,"Terça-Feira",2,2,1,"Janeiro",1,1,1,1970
19700121,21/01/70,"Quarta-Feira",3,2,1,"Janeiro",1,1,1,1970
19700122,22/01/70,"Quinta-Feira",3,2,1,"Janeiro",1,1,1,1970
19700123,23/01/70,"Sexta-Feira",3,2,1,"Janeiro",1,1,1,1970
19700124,24/01/70,"Sábado",3,2,1,"Janeiro",1,1,1,1970
19700125,25/01/70,"Domingo",3,2,1,"Janeiro",1,1,1,1970
19700126,26/01/70,"Segunda-Feira",3,2,1,"Janeiro",1,1,1,1970
19700127,27/01/70,"Terça-Feira",3,2,1,"Janeiro",1,1,1,1970
19700128,28/01/70,"Quarta-Feira",3,2,1,"Janeiro",1,1,1,1970
19700129,29/01/70,"Quinta-Feira",3,2,1,"Janeiro",1,1,1,1970
19700130,30/01/70,"Sexta-Feira",3,2,1,"Janeiro",1,1,1,1970
19700131,31/01/70,"Sábado",3,2,1,"Janeiro",1,1,1,1970
19700201,01/02/70,"Domingo",1,1,2,"Fevereiro",1,1,1,1970
19700202,02/02/70,"Segunda-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700203,03/02/70,"Terça-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700204,04/02/70,"Quarta-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700205,05/02/70,"Quinta-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700206,06/02/70,"Sexta-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700207,07/02/70,"Sábado",1,1,2,"Fevereiro",1,1,1,1970
19700208,08/02/70,"Domingo",1,1,2,"Fevereiro",1,1,1,1970
19700209,09/02/70,"Segunda-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700210,10/02/70,"Terça-Feira",1,1,2,"Fevereiro",1,1,1,1970
19700211,11/02/70,"Quarta-Feira",2,1,2,"Fevereiro",1,1,1,1970
19700212,12/02/70,"Quinta-Feira",2,1,2,"Fevereiro",1,1,1,1970
19700213,13/02/70,"Sexta-Feira",2,1,2,"Fevereiro",1,1,1,1970
19700214,14/02/70,"Sábado",2,1,2,"Fevereiro",1,1,1,1970
19700215,15/02/70,"Domingo",2,1,2,"Fevereiro",1,1,1,1970
19700216,16/02/70,"Segunda-Feira",2,2,2,"Fevereiro",1,1,1,1970
19700217,17/02/70,"Terça-Feira",2,2,2,"Fevereiro",1,1,1,1970
19700218,18/02/70,"Quarta-Feira",2,2,2,"Fevereiro",1,1,1,1970
19700219,19/02/70,"Quinta-Feira",2,2,2,"Fevereiro",1,1,1,1970
19700220,20/02/70,"Sexta-Feira",2,2,2,"Fevereiro",1,1,1,1970
19700221,21/02/70,"Sábado",3,2,2,"Fevereiro",1,1,1,1970
19700222,22/02/70,"Domingo",3,2,2,"Fevereiro",1,1,1,1970
19700223,23/02/70,"Segunda-Feira",3,2,2,"Fevereiro",1,1,1,1970
19700224,24/02/70,"Terça-Feira",3,2,2,"Fevereiro",1,1,1,1970
19700225,25/02/70,"Quarta-Feira",3,2,2,"Fevereiro",1,1,1,1970
19700226,26/02/70,"Quinta-Feira",3,2,2,"Fevereiro",1,1,1,1970
19700227,27/02/70,"Sexta-Feira",3,2,2,"Fevereiro",1,1,1,1970
