"RESULT_ID","DRIVER_ID","CONSTRUCTOR_ID","RACE_ID","CIRCUIT_ID","CONSTRUCTOR_RESULTS_POINTS","CONSTRUCTOR_RESULTS_STATUS","CONSTRUCTOR_STANDINGS_POINTS","CONSTRUCTOR_STANDINGS_POSITION","CONSTRUCTOR_STANDINGS_WINS","DRIVER_STANDINGS_POINTS","DRIVER_STANDINGS_POSITION","DRIVER_STANDINGS_WINS","RACE_YEAR","RACE_ROUND","RACE_DATE","RACE_TIME","GRID_POSITION","DRIVER_FINISH_POSITION","DRIVER_POSITION_ORDER","RACE_DRIVER_POINTS","COMPLETED_LAPS","RACE_FINISH_TIME","RACE_FINISH_TIME_MILLISECONDS","FASTEST_LAP_NUMBER","FASTEST_LAP_RANK","FASTEST_LAP_TIME","FASTEST_LAP_SPEED","STATUS"
2937,25,22,158,1,2,"",2,4,0,0,7,0,2000,1,12/03/00,"",14,7,7,0,58,"+46.915",5688902,,,"","","Finished"
2938,48,18,158,1,0,"",0,5,0,0,8,0,2000,1,12/03/00,"",18,8,8,0,57,"",,,,"","","+1 Lap"
2939,2,20,158,1,0,"",0,6,0,0,9,0,2000,1,12/03/00,"",15,9,9,0,56,"",,,,"","","+2 Laps"
2940,63,15,158,1,0,"",,,,,,,2000,1,12/03/00,"",10,,10,0,58,"",,,,"","","Disqualified"
2941,18,3,158,1,4,"",4,2,0,,,,2000,1,12/03/00,"",21,,11,0,46,"",,,,"","","Engine"
2942,64,15,158,1,0,"",,,,,,,2000,1,12/03/00,"",19,,12,0,41,"",,,,"","","Transmission"
2943,60,18,158,1,0,"",0,5,0,,,,2000,1,12/03/00,"",22,,13,0,40,"",,,,"","","Gearbox"
2944,49,17,158,1,0,"",,,,,,,2000,1,12/03/00,"",5,,14,0,39,"",,,,"","","Hydraulics"
2945,15,17,158,1,0,"",,,,,,,2000,1,12/03/00,"",6,,15,0,35,"",,,,"","","Engine"
2946,55,20,158,1,0,"",0,6,0,,,,2000,1,12/03/00,"",17,,16,0,27,"",,,,"","","Hydraulics"
2947,57,1,158,1,0,"",,,,,,,2000,1,12/03/00,"",1,,17,0,18,"",,,,"","","Engine"
2948,50,21,158,1,0,"",,,,,,,2000,1,12/03/00,"",13,,18,0,16,"",,,,"","","Suspension"
2949,14,1,158,1,0,"",,,,,,,2000,1,12/03/00,"",2,,19,0,11,"",,,,"","","Engine"
2950,37,21,158,1,0,"",,,,,,,2000,1,12/03/00,"",12,,20,0,6,"",,,,"","","Suspension"
2951,56,19,158,1,0,"",,,,,,,2000,1,12/03/00,"",7,,21,0,6,"",,,,"","","Spun off"
2952,65,19,158,1,0,"",,,,,,,2000,1,12/03/00,"",20,,22,0,1,"",,,,"","","Clutch"
2953,30,6,159,18,10,"",26,1,2,20,1,2,2000,2,26/03/00,"",3,1,1,10,71,"1:31:35.271",5495271,,,"","","Finished"
2954,21,22,159,18,6,"",8,2,0,8,2,0,2000,2,26/03/00,"",5,2,2,6,71,"+39.898",5535169,,,"","","Finished"
2955,49,17,159,18,7,"",7,3,0,4,5,0,2000,2,26/03/00,"",7,3,3,4,71,"+42.268",5537539,,,"","","Finished"
2956,15,17,159,18,7,"",7,3,0,3,6,0,2000,2,26/03/00,"",12,4,4,3,71,"+1:12.780",5568051,,,"","","Finished"
2957,23,3,159,18,3,"",7,4,0,6,4,0,2000,2,26/03/00,"",11,5,5,2,70,"",,,,"","","+1 Lap"
2958,18,3,159,18,3,"",7,4,0,1,9,0,2000,2,26/03/00,"",9,6,6,1,70,"",,,,"","","+1 Lap"
2959,50,21,159,18,0,"",0,6,0,0,10,0,2000,2,26/03/00,"",14,7,7,0,70,"",,,,"","","+1 Lap"
2960,37,21,159,18,0,"",0,6,0,0,12,0,2000,2,26/03/00,"",16,8,8,0,70,"",,,,"","","+1 Lap"
2961,41,16,159,18,0,"",4,5,0,1,8,0,2000,2,26/03/00,"",8,9,9,0,69,"",,,,"","","+2 Laps"
2962,60,18,159,18,0,"",0,7,0,0,15,0,2000,2,26/03/00,"",20,10,10,0,69,"",,,,"","","+2 Laps"
2963,14,1,159,18,0,"",,,,,,,2000,2,26/03/00,"",2,,11,0,71,"",,,,"","","Disqualified"
2964,65,19,159,18,0,"",,,,,,,2000,2,26/03/00,"",17,,12,0,51,"",,,,"","","Gearbox"
2965,48,18,159,18,0,"",0,7,0,0,13,0,2000,2,26/03/00,"",18,,13,0,31,"",,,,"","","Engine"
2966,57,1,159,18,0,"",,,,,,,2000,2,26/03/00,"",1,,14,0,30,"",,,,"","","Oil pressure"
2967,22,6,159,18,10,"",26,1,2,6,3,0,2000,2,26/03/00,"",4,,15,0,27,"",,,,"","","Hydraulics"
2968,56,19,159,18,0,"",,,,,,,2000,2,26/03/00,"",6,,16,0,20,"",,,,"","","Spun off"
2969,35,16,159,18,0,"",4,5,0,3,7,0,2000,2,26/03/00,"",10,,17,0,16,"",,,,"","","Gearbox"
2970,55,20,159,18,0,"",0,8,0,,,,2000,2,26/03/00,"",15,,18,0,11,"",,,,"","","Electrical"
2971,2,20,159,18,0,"",0,8,0,0,14,0,2000,2,26/03/00,"",19,,19,0,9,"",,,,"","","Engine"
2972,25,22,159,18,6,"",8,2,0,0,11,0,2000,2,26/03/00,"",13,,20,0,6,"",,,,"","","Engine"
2973,64,15,159,18,0,"",,,,,,,2000,2,26/03/00,"",0,,21,0,0,"",,,,"","","Safety concerns"
2974,63,15,159,18,0,"",,,,,,,2000,2,26/03/00,"",0,,22,0,0,"",,,,"","","Safety concerns"
2975,30,6,160,21,13,"",39,1,3,30,1,3,2000,3,09/04/00,"",2,1,1,10,62,"1:31:39.776",5499776,,,"","","Finished"
2976,57,1,160,21,10,"",10,2,0,6,4,0,2000,3,09/04/00,"",1,2,2,6,62,"+1.168",5500944,,,"","","Finished"
2977,14,1,160,21,10,"",10,2,0,4,7,0,2000,3,09/04/00,"",3,3,3,4,62,"+51.008",5550784,,,"","","Finished"
2978,22,6,160,21,13,"",39,1,3,9,2,0,2000,3,09/04/00,"",4,4,4,3,62,"+1:29.276",5589052,,,"","","Finished"
2979,35,16,160,21,2,"",6,6,0,5,6,0,2000,3,09/04/00,"",9,5,5,2,61,"",,,,"","","+1 Lap"
2980,63,15,160,21,1,"",1,7,0,1,12,0,2000,3,09/04/00,"",12,6,6,1,61,"",,,,"","","+1 Lap"
2981,56,19,160,21,0,"",0,9,0,0,15,0,2000,3,09/04/00,"",7,7,7,0,61,"",,,,"","","+1 Lap"
2982,64,15,160,21,1,"",1,7,0,0,17,0,2000,3,09/04/00,"",10,8,8,0,61,"",,,,"","","+1 Lap"
2983,25,22,160,21,0,"",8,3,0,0,13,0,2000,3,09/04/00,"",11,9,9,0,61,"",,,,"","","+1 Lap"
2984,65,19,160,21,0,"",0,9,0,0,21,0,2000,3,09/04/00,"",17,10,10,0,61,"",,,,"","","+1 Lap"
2985,21,22,160,21,0,"",8,3,0,8,3,0,2000,3,09/04/00,"",19,11,11,0,61,"",,,,"","","+1 Lap"
2986,41,16,160,21,2,"",6,6,0,1,10,0,2000,3,09/04/00,"",14,12,12,0,61,"",,,,"","","+1 Lap"
2987,60,18,160,21,0,"",0,10,0,0,20,0,2000,3,09/04/00,"",20,13,13,0,60,"",,,,"","","+2 Laps"
2988,50,21,160,21,0,"",0,8,0,0,14,0,2000,3,09/04/00,"",16,14,14,0,59,"",,,,"","","+3 Laps"
2989,15,17,160,21,0,"",7,4,0,3,9,0,2000,3,09/04/00,"",8,15,15,0,58,"",,,,"","","Gearbox"
2990,37,21,160,21,0,"",0,8,0,0,16,0,2000,3,09/04/00,"",13,,16,0,49,"",,,,"","","Spun off"
2991,23,3,160,21,0,"",7,5,0,6,5,0,2000,3,09/04/00,"",5,,17,0,45,"",,,,"","","Fuel system"
2992,55,20,160,21,0,"",0,11,0,,,,2000,3,09/04/00,"",15,,18,0,25,"",,,,"","","Hydraulics"
2993,2,20,160,21,0,"",0,11,0,0,19,0,2000,3,09/04/00,"",22,,19,0,22,"",,,,"","","Hydraulics"
2994,18,3,160,21,0,"",7,5,0,1,11,0,2000,3,09/04/00,"",18,,20,0,5,"",,,,"","","Engine"
2995,48,18,160,21,0,"",0,10,0,0,18,0,2000,3,09/04/00,"",21,,21,0,5,"",,,,"","","Spun off"
2996,49,17,160,21,0,"",7,4,0,4,8,0,2000,3,09/04/00,"",6,,22,0,4,"",,,,"","","Gearbox"
2997,14,1,161,9,16,"",26,2,1,14,2,1,2000,4,23/04/00,"",4,1,1,10,60,"1:28:50.108",5330108,,,"","","Finished"
2998,57,1,161,9,16,"",26,2,1,12,3,0,2000,4,23/04/00,"",3,2,2,6,60,"+1.477",5331585,,,"","","Finished"
2999,30,6,161,9,4,"",43,1,3,34,1,3,2000,4,23/04/00,"",5,3,3,4,60,"+19.917",5350025,,,"","","Finished"
3000,23,3,161,9,5,"",12,3,0,9,5,0,2000,4,23/04/00,"",7,4,4,3,60,"+41.312",5371420,,,"","","Finished"
3001,18,3,161,9,5,"",12,3,0,3,10,0,2000,4,23/04/00,"",6,5,5,2,60,"+57.759",5387867,,,"","","Finished"
3002,15,17,161,9,1,"",8,5,0,4,9,0,2000,4,23/04/00,"",11,6,6,1,60,"+1:19.273",5409381,,,"","","Finished"
3003,21,22,161,9,0,"",8,4,0,8,6,0,2000,4,23/04/00,"",12,7,7,0,59,"",,,,"","","+1 Lap"
3004,63,15,161,9,0,"",1,7,0,1,11,0,2000,4,23/04/00,"",18,8,8,0,59,"",,,,"","","+1 Lap"
